"","participant.code","cityname","role","group.S_transfer","group.S_self_part","group.S_prediction","group.R_prediction","group.R_min_offer","round","group.pie_size","group.unit_value_for_S","group.unit_value_for_R","treat","treatmp","player.age","player.gender","player.riskat","player.income"
"409","dqxl9b2i","T",1,75,25,75,50,40,1,100,3,1,"Sender_TomSam","TomSam",20,1,4,4
"410","dqxl9b2i","T",1,30,30,30,40,35,6,60,1,1,"Sender_TomSam","TomSam",20,1,4,4
"411","dqxl9b2i","T",1,15,45,15,30,25,4,60,1,3,"Sender_TomSam","TomSam",20,1,4,4
"412","dqxl9b2i","T",1,50,50,50,55,50,3,100,1,1,"Sender_TomSam","TomSam",20,1,4,4
"413","dqxl9b2i","T",1,45,15,45,20,20,5,60,3,1,"Sender_TomSam","TomSam",20,1,4,4
"414","eczqekhu","S",1,0,60,30,30,60,3,60,1,1,"Sender_SamMos","SamMos",21,0,1,5
"415","eczqekhu","S",1,20,40,40,0,30,2,60,3,1,"Sender_SamMos","SamMos",21,0,1,5
"416","eczqekhu","S",1,10,90,80,0,100,4,100,3,1,"Sender_SamMos","SamMos",21,0,1,5
"417","eczqekhu","S",1,20,80,60,10,50,1,100,1,3,"Sender_SamMos","SamMos",21,0,1,5
"418","eczqekhu","S",1,0,100,50,50,100,6,100,1,1,"Sender_SamMos","SamMos",21,0,1,5
"419","eczqekhu","S",1,0,60,30,0,60,5,60,1,3,"Sender_SamMos","SamMos",21,0,1,5
"420","ei2h65g2","M",1,20,40,20,0,10,1,60,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"421","ei2h65g2","M",1,15,85,25,40,40,2,100,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"422","ei2h65g2","M",1,30,30,30,10,20,3,60,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"423","ei2h65g2","M",1,5,55,15,10,20,4,60,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"424","ei2h65g2","M",1,20,80,50,10,30,5,100,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"425","ei2h65g2","M",1,10,90,60,10,30,6,100,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"426","eqkbsdj2","M",1,25,35,20,5,0,1,60,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"427","eqkbsdj2","M",1,12,48,10,0,0,2,60,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"428","eqkbsdj2","M",1,41,59,40,0,0,3,100,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"429","eqkbsdj2","M",1,24,76,20,5,0,4,100,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"430","eqkbsdj2","M",1,73,27,70,0,0,5,100,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"431","eqkbsdj2","M",1,43,17,40,0,0,6,60,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"433","esbwhuk8","M",1,30,30,15,30,25,1,60,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"434","esbwhuk8","M",1,15,45,10,20,13,2,60,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"435","esbwhuk8","M",1,40,60,30,45,40,3,100,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"436","esbwhuk8","M",1,25,75,15,25,20,4,100,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"437","esbwhuk8","M",1,75,25,50,75,60,5,100,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"438","esbwhuk8","M",1,45,15,30,15,30,6,60,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"439","euscfqpe","T",1,0,100,0,40,30,3,100,1,1,"Sender_TomSam","TomSam",19,0,2,5
"440","euscfqpe","T",1,0,60,0,40,40,6,60,1,1,"Sender_TomSam","TomSam",19,0,2,5
"441","euscfqpe","T",1,30,30,0,20,20,4,60,1,3,"Sender_TomSam","TomSam",19,0,2,5
"442","euscfqpe","T",1,10,90,0,100,80,2,100,1,3,"Sender_TomSam","TomSam",19,0,2,5
"443","euscfqpe","T",1,0,60,0,30,30,5,60,3,1,"Sender_TomSam","TomSam",19,0,2,5
"444","euscfqpe","T",1,10,90,0,50,60,1,100,3,1,"Sender_TomSam","TomSam",19,0,2,5
"446","f2f5selb","T",1,0,60,15,30,30,5,60,3,1,"Sender_TomSam","TomSam",21,0,1,4
"447","f2f5selb","T",1,30,70,40,50,50,3,100,1,1,"Sender_TomSam","TomSam",21,0,1,4
"448","f2f5selb","T",1,0,60,10,30,30,4,60,1,3,"Sender_TomSam","TomSam",21,0,1,4
"449","f2f5selb","T",1,20,80,20,50,50,1,100,3,1,"Sender_TomSam","TomSam",21,0,1,4
"450","f2f5selb","T",1,0,100,10,50,50,2,100,1,3,"Sender_TomSam","TomSam",21,0,1,4
"451","f2f5selb","T",1,5,55,20,30,30,6,60,1,1,"Sender_TomSam","TomSam",21,0,1,4
"454","fb67wabb","S",1,30,30,15,10,45,2,60,3,1,"Sender_SamMos","SamMos",20,0,2,4
"455","fb67wabb","S",1,7,53,2,0,15,5,60,1,3,"Sender_SamMos","SamMos",20,0,2,4
"456","fb67wabb","S",1,0,0,10,5,25,1,100,1,3,"Sender_SamMos","SamMos",20,0,2,4
"457","fb67wabb","S",1,20,40,21,0,30,3,60,1,1,"Sender_SamMos","SamMos",20,0,2,4
"458","fb67wabb","S",1,5,95,5,15,75,4,100,3,1,"Sender_SamMos","SamMos",20,0,2,4
"459","fb67wabb","S",1,61,39,30,10,50,6,100,1,1,"Sender_SamMos","SamMos",20,0,2,4
"460","fh863ckg","S",2,0,100,0,40,30,3,100,1,1,"Receiver_TomSam","TomSam",19,1,2,3
"461","fh863ckg","S",2,0,60,0,30,30,5,60,3,1,"Receiver_TomSam","TomSam",19,1,2,3
"462","fh863ckg","S",2,10,90,0,50,60,1,100,3,1,"Receiver_TomSam","TomSam",19,1,2,3
"463","fh863ckg","S",2,30,30,0,20,20,4,60,1,3,"Receiver_TomSam","TomSam",19,1,2,3
"464","fh863ckg","S",2,0,60,0,40,40,6,60,1,1,"Receiver_TomSam","TomSam",19,1,2,3
"465","fh863ckg","S",2,10,90,0,100,80,2,100,1,3,"Receiver_TomSam","TomSam",19,1,2,3
"467","ftt9vsyq","M",2,45,55,30,0,1,3,100,1,1,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"468","ftt9vsyq","M",2,30,30,25,0,3,1,60,3,1,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"469","ftt9vsyq","M",2,50,50,40,0,1,4,100,3,1,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"470","ftt9vsyq","M",2,40,60,30,3,3,2,100,1,3,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"471","ftt9vsyq","M",2,30,30,20,0,1,6,60,1,1,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"472","ftt9vsyq","M",2,20,40,10,0,1,5,60,1,3,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"473","fw8ncar8","T",2,22,78,18,20,25,1,100,1,3,"Receiver_TomTom","TomTom",NA,NA,NA,NA
"474","fw8ncar8","T",2,15,45,12,13,15,2,60,1,3,"Receiver_TomTom","TomTom",NA,NA,NA,NA
"475","fw8ncar8","T",2,43,17,35,28,45,3,60,3,1,"Receiver_TomTom","TomTom",NA,NA,NA,NA
"476","fw8ncar8","T",2,70,30,72,50,75,4,100,3,1,"Receiver_TomTom","TomTom",NA,NA,NA,NA
"477","fw8ncar8","T",2,28,32,25,25,30,5,60,1,1,"Receiver_TomTom","TomTom",NA,NA,NA,NA
"478","fw8ncar8","T",2,43,57,45,45,50,6,100,1,1,"Receiver_TomTom","TomTom",NA,NA,NA,NA
"479","fy4fv5zx","M",1,0,60,30,7,30,1,60,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"480","fy4fv5zx","M",1,0,60,15,8,20,2,60,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"481","fy4fv5zx","M",1,0,100,50,15,35,3,100,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"482","fy4fv5zx","M",1,0,100,25,14,30,4,100,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"483","fy4fv5zx","M",1,0,100,75,5,23,5,100,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"484","fy4fv5zx","M",1,0,60,45,5,18,6,60,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"486","gh7gvy2d","M",2,25,35,20,10,30,1,60,1,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"487","gh7gvy2d","M",2,30,30,10,0,5,2,60,1,3,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"488","gh7gvy2d","M",2,35,65,30,69,47,3,100,1,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"489","gh7gvy2d","M",2,50,50,20,0,40,4,100,1,3,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"490","gh7gvy2d","M",2,60,40,40,0,4,5,100,3,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"491","gh7gvy2d","M",2,25,35,30,0,5,6,60,3,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"492","h13hc7dq","M",2,1,59,2,10,10,1,60,3,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"493","h13hc7dq","M",2,0,100,1,45,35,2,100,1,3,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"494","h13hc7dq","M",2,0,60,30,20,20,3,60,1,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"495","h13hc7dq","M",2,0,60,1,20,10,4,60,1,3,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"496","h13hc7dq","M",2,0,100,1,30,30,5,100,1,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"497","h13hc7dq","M",2,1,99,2,25,25,6,100,3,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"502","hiul1f4q","M",1,1,59,2,10,10,1,60,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"503","hiul1f4q","M",1,0,100,1,45,35,2,100,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"504","hiul1f4q","M",1,0,60,30,20,20,3,60,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"505","hiul1f4q","M",1,0,60,1,20,10,4,60,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"506","hiul1f4q","M",1,0,100,1,30,30,5,100,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"507","hiul1f4q","M",1,1,99,2,25,25,6,100,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"508","hokjvseg","S",2,30,30,30,30,30,3,60,1,1,"Receiver_SamSam","SamSam",20,0,2,4
"509","hokjvseg","S",2,50,50,50,50,45,2,100,1,1,"Receiver_SamSam","SamSam",20,0,2,4
"510","hokjvseg","S",2,17,43,20,15,15,1,60,3,1,"Receiver_SamSam","SamSam",20,0,2,4
"511","hokjvseg","S",2,60,40,70,75,65,4,100,3,1,"Receiver_SamSam","SamSam",20,0,2,4
"512","hokjvseg","S",2,30,70,25,30,20,5,100,1,3,"Receiver_SamSam","SamSam",20,0,2,4
"513","hokjvseg","S",2,15,45,20,15,15,6,60,1,3,"Receiver_SamSam","SamSam",20,0,2,4
"514","hoxcjbph","T",1,75,25,50,6,0,4,100,3,1,"Sender_TomMos","TomMos",20,0,2,4
"515","hoxcjbph","T",1,30,30,30,7,0,6,60,1,1,"Sender_TomMos","TomMos",20,0,2,4
"516","hoxcjbph","T",1,15,45,15,12,2,5,60,1,3,"Sender_TomMos","TomMos",20,0,2,4
"517","hoxcjbph","T",1,50,50,50,10,1,3,100,1,1,"Sender_TomMos","TomMos",20,0,2,4
"518","hoxcjbph","T",1,45,15,30,4,2,1,60,3,1,"Sender_TomMos","TomMos",20,0,2,4
"519","hoxcjbph","T",1,25,75,45,20,3,2,100,1,3,"Sender_TomMos","TomMos",20,0,2,4
"520","htvnvx5a","T",2,25,75,20,50,1,1,100,1,3,"Receiver_TomTom","TomTom",NA,NA,NA,NA
"521","htvnvx5a","T",2,15,45,11,10,11,2,60,1,3,"Receiver_TomTom","TomTom",NA,NA,NA,NA
"522","htvnvx5a","T",2,40,20,40,30,30,3,60,3,1,"Receiver_TomTom","TomTom",NA,NA,NA,NA
"523","htvnvx5a","T",2,65,35,50,50,75,4,100,3,1,"Receiver_TomTom","TomTom",NA,NA,NA,NA
"524","htvnvx5a","T",2,30,30,20,10,59,5,60,1,1,"Receiver_TomTom","TomTom",NA,NA,NA,NA
"525","htvnvx5a","T",2,50,50,40,20,80,6,100,1,1,"Receiver_TomTom","TomTom",NA,NA,NA,NA
"527","iyrokonc","S",2,0,60,45,10,20,5,60,3,1,"Receiver_TomSam","TomSam",18,0,2,4
"528","iyrokonc","S",2,0,60,15,40,20,4,60,1,3,"Receiver_TomSam","TomSam",18,0,2,4
"529","iyrokonc","S",2,2,58,50,30,20,6,60,1,1,"Receiver_TomSam","TomSam",18,0,2,4
"530","iyrokonc","S",2,0,100,50,10,20,3,100,1,1,"Receiver_TomSam","TomSam",18,0,2,4
"531","iyrokonc","S",2,0,100,75,40,30,1,100,3,1,"Receiver_TomSam","TomSam",18,0,2,4
"532","iyrokonc","S",2,0,100,25,50,50,2,100,1,3,"Receiver_TomSam","TomSam",18,0,2,4
"534","j49h2285","M",1,40,20,40,0,10,1,60,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"535","j49h2285","M",1,25,75,25,25,40,2,100,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"536","j49h2285","M",1,30,30,30,20,30,3,60,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"537","j49h2285","M",1,15,45,15,10,15,4,60,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"538","j49h2285","M",1,50,50,50,30,20,5,100,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"539","j49h2285","M",1,75,25,75,0,20,6,100,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"541","j5f0mz8h","S",2,50,50,50,75,50,3,100,1,1,"Receiver_TomSam","TomSam",21,0,2,4
"542","j5f0mz8h","S",2,30,30,30,30,25,6,60,1,1,"Receiver_TomSam","TomSam",21,0,2,4
"543","j5f0mz8h","S",2,25,75,25,60,30,2,100,1,3,"Receiver_TomSam","TomSam",21,0,2,4
"544","j5f0mz8h","S",2,75,25,75,50,25,1,100,3,1,"Receiver_TomSam","TomSam",21,0,2,4
"545","j5f0mz8h","S",2,45,15,15,9,5,5,60,3,1,"Receiver_TomSam","TomSam",21,0,2,4
"546","j5f0mz8h","S",2,15,45,15,30,15,4,60,1,3,"Receiver_TomSam","TomSam",21,0,2,4
"547","jf8svgy6","M",2,0,60,30,20,20,1,60,1,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"548","jf8svgy6","M",2,0,60,10,10,10,2,60,1,3,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"549","jf8svgy6","M",2,0,100,50,30,30,3,100,1,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"550","jf8svgy6","M",2,0,100,20,20,25,4,100,1,3,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"551","jf8svgy6","M",2,0,100,50,0,15,5,100,3,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"552","jf8svgy6","M",2,0,60,30,0,10,6,60,3,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"553","jluewg5h","S",1,15,45,15,20,20,5,60,1,3,"Sender_SamMos","SamMos",21,0,1,5
"554","jluewg5h","S",1,50,50,50,30,25,6,100,1,1,"Sender_SamMos","SamMos",21,0,1,5
"555","jluewg5h","S",1,0,0,16,50,35,1,100,1,3,"Sender_SamMos","SamMos",21,0,1,5
"556","jluewg5h","S",1,48,12,43,5,10,2,60,3,1,"Sender_SamMos","SamMos",21,0,1,5
"557","jluewg5h","S",1,30,30,30,15,20,3,60,1,1,"Sender_SamMos","SamMos",21,0,1,5
"558","jluewg5h","S",1,75,25,75,5,10,4,100,3,1,"Sender_SamMos","SamMos",21,0,1,5
"563","kcmpbasm","S",2,40,20,30,40,40,5,60,3,1,"Receiver_TomSam","TomSam",20,1,2,3
"564","kcmpbasm","S",2,30,30,30,30,30,6,60,1,1,"Receiver_TomSam","TomSam",20,1,2,3
"565","kcmpbasm","S",2,50,50,50,50,50,3,100,1,1,"Receiver_TomSam","TomSam",20,1,2,3
"566","kcmpbasm","S",2,50,50,40,25,75,1,100,3,1,"Receiver_TomSam","TomSam",20,1,2,3
"567","kcmpbasm","S",2,20,40,20,20,40,4,60,1,3,"Receiver_TomSam","TomSam",20,1,2,3
"568","kcmpbasm","S",2,40,60,40,20,50,2,100,1,3,"Receiver_TomSam","TomSam",20,1,2,3
"570","kfg9ql7c","T",1,75,25,75,50,25,1,100,3,1,"Sender_TomSam","TomSam",19,1,2,4
"571","kfg9ql7c","T",1,30,30,30,30,25,6,60,1,1,"Sender_TomSam","TomSam",19,1,2,4
"572","kfg9ql7c","T",1,15,45,15,30,15,4,60,1,3,"Sender_TomSam","TomSam",19,1,2,4
"573","kfg9ql7c","T",1,45,15,15,9,5,5,60,3,1,"Sender_TomSam","TomSam",19,1,2,4
"574","kfg9ql7c","T",1,25,75,25,60,30,2,100,1,3,"Sender_TomSam","TomSam",19,1,2,4
"575","kfg9ql7c","T",1,50,50,50,75,50,3,100,1,1,"Sender_TomSam","TomSam",19,1,2,4
"576","knfpheje","M",2,30,30,30,20,30,3,60,1,1,"Receiver_SamMos","SamMos",21,1,2,5
"577","knfpheje","M",2,60,40,55,40,50,6,100,1,1,"Receiver_SamMos","SamMos",21,1,2,5
"578","knfpheje","M",2,40,20,20,10,15,2,60,3,1,"Receiver_SamMos","SamMos",21,1,2,5
"579","knfpheje","M",2,0,0,40,60,70,1,100,1,3,"Receiver_SamMos","SamMos",21,1,2,5
"580","knfpheje","M",2,20,40,18,35,45,5,60,1,3,"Receiver_SamMos","SamMos",21,1,2,5
"581","knfpheje","M",2,70,30,80,20,25,4,100,3,1,"Receiver_SamMos","SamMos",21,1,2,5
"582","krmvkhzx","M",1,30,30,40,45,40,1,60,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"583","krmvkhzx","M",1,30,70,100,25,24,2,100,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"584","krmvkhzx","M",1,35,25,30,25,28,3,60,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"585","krmvkhzx","M",1,20,40,30,10,15,4,60,1,3,"Sender_MosMos","MosMos",NA,NA,NA,NA
"586","krmvkhzx","M",1,50,50,50,10,40,5,100,1,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"587","krmvkhzx","M",1,60,40,60,50,70,6,100,3,1,"Sender_MosMos","MosMos",NA,NA,NA,NA
"590","kyucyx39","M",2,20,40,20,30,30,1,60,1,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"591","kyucyx39","M",2,10,50,15,10,10,2,60,1,3,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"592","kyucyx39","M",2,35,65,45,40,30,3,100,1,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"593","kyucyx39","M",2,20,80,25,20,10,4,100,1,3,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"594","kyucyx39","M",2,45,55,50,50,30,5,100,3,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"595","kyucyx39","M",2,20,40,30,40,30,6,60,3,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"596","l0icwrfk","M",2,0,60,10,30,40,1,60,3,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"597","l0icwrfk","M",2,0,100,10,15,15,2,100,1,3,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"598","l0icwrfk","M",2,0,60,10,20,20,3,60,1,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"599","l0icwrfk","M",2,0,60,10,10,10,4,60,1,3,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"600","l0icwrfk","M",2,0,100,25,30,30,5,100,1,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"601","l0icwrfk","M",2,0,100,20,40,50,6,100,3,1,"Receiver_MosMos","MosMos",NA,NA,NA,NA
"602","l2s3twav","M",2,50,50,50,50,50,3,100,1,1,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"603","l2s3twav","M",2,75,25,75,75,75,4,100,3,1,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"604","l2s3twav","M",2,45,15,45,45,45,1,60,3,1,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"605","l2s3twav","M",2,25,75,25,25,25,2,100,1,3,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"606","l2s3twav","M",2,15,45,15,15,15,5,60,1,3,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"607","l2s3twav","M",2,30,30,30,30,30,6,60,1,1,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"609","l65da94s","S",1,20,40,20,0,45,2,60,3,1,"Sender_SamMos","SamMos",20,1,4,4
"610","l65da94s","S",1,15,45,20,20,15,5,60,1,3,"Sender_SamMos","SamMos",20,1,4,4
"611","l65da94s","S",1,30,30,30,30,30,3,60,1,1,"Sender_SamMos","SamMos",20,1,4,4
"612","l65da94s","S",1,40,60,20,25,10,1,100,1,3,"Sender_SamMos","SamMos",20,1,4,4
"613","l65da94s","S",1,50,50,50,30,50,6,100,1,1,"Sender_SamMos","SamMos",20,1,4,4
"614","l65da94s","S",1,25,75,75,75,50,4,100,3,1,"Sender_SamMos","SamMos",20,1,4,4
